projectclassification, environmentname, mu, sigma, cutoff
ERP009143activatedsludge, sludge, -17.205139233136787, 4.019119130283429, -18.8
ERP012927Lake, lake, -18.69340217068934, 4.529538842612752, -17.0
ERP012927River, river, -13.75390843108443, 2.5402593082837495, -17.5
SRP056641GUT, gut1, -13.899128551965859, 3.040677633241695, -14.3
ERP015450GUT, gut2, -15.023922724386187, 3.3312171019676113, -17.5
ERP017997Glacier, glacier, -15.252553550501801, 3.6122754392839083, -16.25
MGYS00002437 seawater, seawater, -14.064039898752595, 3.7778493718038186, -17.9
SRP052295Environmental Terrestrial Soil, soil, -14.232053752858928, 3.2598244241397576, -14.25
SRP056641ORAL, oral, -12.246689286211632, 2.730455482125925, -16.1
